150,11,oc,av_p,av_k,av_s,av_zn,av_b,av_fe,av_cu,av_mn,target
7.2,0.31,0.78,2,36,19.2,0.72,0.98,12.6,0.58,5.41,1
7.4,0.34,0.46,2.2,33,8.6,0.62,0.21,4.21,0.67,2.14,1
7.6,0.58,0.28,3.5,19,11.6,0.72,0.88,3.64,0.42,2.58,1
7.2,0.41,0.33,1.3,20,7.9,0.74,0.86,3.72,1.23,2.96,1
7.2,0.15,0.52,1.6,21,5.2,0.72,0.25,5.98,1.42,3.54,1
7.3,0.61,0.48,2.6,39,19.5,0.77,0.29,4.55,0.92,3.66,1
7.1,0.41,0.34,1.7,21,6.6,0.66,0.65,3.43,0.75,3.58,1
7.3,0.29,0.29,1.1,36,8.5,0.75,0.87,6.32,0.68,2.88,1
7.4,0.31,0.44,2.6,50,5.3,0.77,0.63,6.78,0.59,2.74,1
7.6,0.19,0.54,3.3,21,19.2,0.67,0.36,5.37,0.91,1.79,1
7.2,0.29,0.47,1.9,74,18.7,0.69,0.46,6.66,0.48,2.74,1
7.6,0.34,0.71,2.6,74,6.5,0.69,0.48,3.72,1.41,2.22,1
7.6,0.17,0.81,4.3,22,19.2,0.71,0.31,6.62,1.44,1.7,1
7.7,0.29,0.76,3.1,24,8.6,0.71,1.86,2.93,10.56,2.17,1
7.5,0.64,0.38,3.2,68,4.7,0.7,1.74,4.69,0.56,1.91,1
7.2,0.15,0.58,4.3,41,6.5,0.71,0.38,12.85,0.34,2.43,1
8,0.15,0.79,1.9,53,19.2,0.55,0.45,2.79,1.59,2.01,1
7.2,0.87,0.38,2.4,44,6,0.7,0.39,6.35,0.48,3.91,1
7.2,0.29,0.42,2.2,54,8.2,0.77,0.41,6.65,0.65,4.21,1
7.2,0.34,0.48,3,56,5.2,0.63,0.25,6.85,0.87,3.79,1
6.7,0.45,0.36,2.6,68,5.7,0.87,0.51,12.36,1.26,3.33,1
6.7,0.48,0.34,3.6,41,8,0.95,0.31,11.82,1.84,4.16,1
7.7,0.65,0.65,3.7,37,15.2,0.7,0.54,5.42,0.26,5.18,1
7.4,0.34,0.71,3.1,50,11.6,0.62,0.58,15.88,0.85,2.61,1
7.3,0.21,0.65,3.2,67,8.6,0.76,0.25,10.67,1.55,3.45,1
7.5,0.32,0.71,3.4,58,19.5,0.75,1.87,3.65,1.32,3.54,1
7.6,0.19,0.66,3.5,51,7.8,0.72,4.26,7.22,0.47,6.25,1
7.8,0.15,0.78,2.2,36,5.9,0.77,0.57,12.68,0.68,3.55,1
7.7,0.19,0.47,4.7,30,8.6,0.71,0.33,6.62,0.65,1.72,1
7.7,0.28,0.54,4.7,62,8.6,0.69,0.41,5.25,0.87,9.29,1
7.8,0.15,0.82,2.6,54,11.6,0.75,0.47,3.68,1.1,3.19,2
7.8,0.3,0.48,2.7,69,5.6,0.7,0.19,5.42,0.67,2.18,2
7.7,0.37,0.47,3.7,59,19.2,0.77,0.17,4.58,1.04,1.72,2
7.8,0.22,0.26,2.5,52,6.8,0.68,0.35,5.64,3.89,2.19,2
7.3,0.24,0.78,4.2,53,15.2,0.77,0.25,2.66,0.79,2.82,2
7.5,0.31,0.79,4.5,65,8.6,0.69,0.29,2.71,1.03,3.88,2
7.9,0.21,0.52,3.3,67,6.3,0.75,0.93,5.82,1.08,2.62,2
7.8,0.15,0.55,2.6,68,5.6,0.57,0.72,7.35,1.16,3.77,2
7.9,0.31,0.5,2.8,74,5.9,0.71,0.41,3.32,1.32,3.12,2
7.7,0.46,0.42,3.5,68,19.2,0.62,0.71,5.55,0.87,2.54,2
7.7,0.53,0.39,3.2,58,8.6,0.54,0.37,3.72,1.21,1.68,2
7.8,0.21,0.61,2.6,54,4.8,0.63,0.42,6.62,1.03,1.78,2
7.7,0.16,0.66,1.7,21,6.8,0.87,0.19,5.83,0.68,2.03,2
7.7,0.17,0.58,4.4,44,19.2,0.62,0.45,4.35,0.71,5.27,2
